name,lat,lon,time,time_iso,u_wind,v_wind,dew_point,temperature,cloud_height,evaporation,wind_gust,mean_evaporation_rate,mean_potential_evaporation_rate,pressure,potential_evaporation,precipitation_type,soil_temperature,volumetric_soil_water,cloud_cover,hourly_precipitation,wind_angle,wind_direction,wind_speed
Point,51.5074,-0.1251,1700118000,2023-11-16T07:00:00,-2.7623138427734375,-0.9017333984375,4.006433105468773,5.411218261718773,3418.89111328125,-4.211673513054848e-06,5.390667915344238,-1.1648517102003098e-06,-5.906913429498672e-07,1011.695625,-2.1227169781923294e-06,1.0,5.882836914062523,0.37804579734802246,1.0,0.01811981201171875,72,e,2.9057702744428022
Point,51.5074,-0.1251,1700121600,2023-11-16T08:00:00,-3.03643798828125,-0.6474609375,4.006921386718773,5.511499023437523,3322.65673828125,-5.877343937754631e-06,5.267477989196777,-1.6367994248867035e-06,-8.207280188798904e-07,1011.626875,-2.955552190542221e-06,1.0,5.935388183593773,0.379252552986145,1.0,0.18215179443359375,78,e,3.104699876359366
Point,51.5074,-0.1251,1700125200,2023-11-16T09:00:00,-3.3409271240234375,-0.8906707763671875,4.553826904296898,5.723809814453148,3452.91455078125,-1.4923978596925735e-05,6.480212211608887,-4.1476450860500336e-06,-1.703621819615364e-06,1011.00125,-6.123911589384079e-06,1.0,6.000299072265648,0.38247591257095337,1.0,0.5016326904296875,75,e,3.457613118888527
Point,51.5074,-0.1251,1700128800,2023-11-16T10:00:00,-2.55218505859375,-1.553558349609375,5.268151855468773,6.263818359375023,3179.40380859375,-2.8328504413366318e-05,6.153657913208008,-7.867347449064255e-06,-3.1581148505210876e-06,1010.720625,-1.136050559580326e-05,1.0,6.151849365234398,0.3870925307273865,1.0,0.48923492431640625,59,ne,2.987840711776682
Point,51.5074,-0.1251,1700132400,2023-11-16T11:00:00,-1.205474853515625,-2.5657958984375,5.837365722656273,6.771142578125023,2445.171142578125,-3.712531179189682e-05,5.9937262535095215,-1.0318588465452194e-05,-4.738103598356247e-06,1010.71,-1.704343594610691e-05,1.0,6.402886962890648,0.38987910747528076,1.0,0.335693359375,25,ne,2.834868288809414
Point,51.5074,-0.1251,1700136000,2023-11-16T12:00:00,0.089324951171875,-3.17034912109375,6.339868164062523,7.261987304687523,3026.90673828125,-5.0552887842059135e-05,6.515078067779541,-1.4040619134902954e-05,-6.969086825847626e-06,1011.1825,-2.506561577320099e-05,1.0,6.796624755859398,0.3909371495246887,1.0,0.20837783813476562,358,n,3.171607241844704
Point,51.5074,-0.1251,1700139600,2023-11-16T13:00:00,0.6936492919921875,-3.1335296630859375,6.486810302734398,7.354699707031273,2110.86181640625,-5.0026457756757736e-05,6.983978271484375,-1.3889744877815247e-05,-6.43264502286911e-06,1011.345,-2.3165252059698105e-05,1.0,7.106286621093773,0.39092713594436646,1.0,0.13828277587890625,348,n,3.2093858430735205
Point,51.5074,-0.1251,1700143200,2023-11-16T14:00:00,0.805877685546875,-3.0113983154296875,6.389794921875023,7.388452148437523,2307.561767578125,-4.106317646801472e-05,6.855908393859863,-1.140497624874115e-05,-4.784204065799713e-06,1011.74375,-1.722876913845539e-05,1.0,7.353112792968773,0.39061814546585083,1.0,0.09632110595703125,345,n,3.117364056095333
Point,51.5074,-0.1251,1700146800,2023-11-16T15:00:00,1.95904541015625,-2.83489990234375,6.264794921875023,7.550653076171898,2025.2789306640625,-3.3956486731767654e-05,6.949112892150879,-9.43685881793499e-06,-3.7294812500476837e-06,1012.9475,-1.3429904356598854e-05,1.0,7.681726074218773,0.390044629573822,1.0,0.06008148193359375,325,nw,3.445942015670443
Point,51.5074,-0.1251,1700150400,2023-11-16T16:00:00,2.770538330078125,-2.5392608642578125,6.090844726562523,7.070123291015648,356.48345947265625,-1.0742805898189545e-05,6.556188583374023,-2.9811635613441467e-06,-4.6589411795139313e-07,1014.143125,-1.6624107956886292e-06,1.0,7.611596679687523,0.3903844654560089,1.0,0.125885009765625,313,nw,3.7581549163363954
Point,51.5074,-0.1251,1700154000,2023-11-16T17:00:00,2.7987823486328125,-2.4439544677734375,6.158105468750023,7.127893066406273,2116.176025390625,-8.065719157457352e-06,6.320079803466797,-2.2405292838811874e-06,-2.360902726650238e-07,1014.7925,-8.672941476106644e-07,1.0,7.725000000000023,0.39154061675071716,0.99151611328125,0.16450881958007812,311,nw,3.71565553779792
Point,51.5074,-0.1251,1700157600,2023-11-16T18:00:00,2.4207611083984375,-1.857635498046875,6.224084472656273,7.243341064453148,2276.38330078125,-5.486886948347092e-06,5.5888800621032715,-1.5278346836566925e-06,-1.4901161193847656e-07,1015.323125,-5.273614078760147e-07,1.0,7.918084716796898,0.3922657072544098,0.6390380859375,0.13399124145507812,308,nw,3.051375753252669
Point,51.5074,-0.1251,1700161200,2023-11-16T19:00:00,2.6814727783203125,-0.978515625,6.161737060546898,7.149255371093773,834.9945068359375,5.884328857064247e-06,5.114965915679932,1.63959339261055e-06,1.9758008420467377e-06,1015.976875,7.12880864739418e-06,1.0,8.129479980468773,0.39207223057746887,0.50213623046875,0.0095367431640625,290,w,2.854433234329014
Point,51.5074,-0.1251,1700164800,2023-11-16T20:00:00,2.84735107421875,-0.6553802490234375,5.628808593750023,6.463891601562523,757.6629028320312,4.58303838968277e-06,5.300515651702881,1.2712553143501282e-06,1.6945414245128632e-06,1016.543125,6.103655323386192e-06,1.0,7.929711914062523,0.39131054282188416,0.247467041015625,0.00476837158203125,283,w,2.921802767242288
Point,51.5074,-0.1251,1700168400,2023-11-16T21:00:00,3.0606231689453125,-0.1656646728515625,5.270166015625023,5.925653076171898,367.45306396484375,1.20608601719141e-05,5.484364032745361,3.3511314541101456e-06,3.773719072341919e-06,1016.784375,1.3592652976512909e-05,1.0,7.512994384765648,0.39050954580307007,0.36639404296875,0.001430511474609375,273,w,3.0651034185025243
Point,51.5074,-0.1251,1700172000,2023-11-16T22:00:00,2.571319580078125,0.9391937255859375,4.655541992187523,5.187646484375023,430.11810302734375,1.3989396393299103e-05,5.052682876586914,3.886641934514046e-06,4.388508386909962e-06,1017.338125,1.5802914276719093e-05,1.0,7.040155029296898,0.3891432285308838,0.339752197265625,0.0,250,w,2.7374749746934928
Point,51.5074,-0.1251,1700175600,2023-11-16T23:00:00,2.97808837890625,1.402191162109375,4.713220214843773,5.176965332031273,1936.8359375,8.068513125181198e-06,5.034907817840576,2.244720235466957e-06,2.7497299015522003e-06,1017.738125,9.901123121380806e-06,1.0,6.873742675781273,0.38851889967918396,0.8026123046875,0.00095367431640625,245,sw,3.2916789709317182
